/RU25075RMFS=MM	BBB	12/8/2008	SPI
/RU25075RMFS=MM	Baa1	3/27/2013	MIS
/RU25075RMFS=MM	Baa1	3/27/2013	MDL
/RU25075RMFS=MM	WD	7/25/2006	FIS
/RU25075RMFS=MM	BBB	2/4/2009	FDL
/RU25076RMFS=MM	BBB	12/8/2008	SPI
/RU25076RMFS=MM	Baa1	3/27/2013	MIS
/RU25076RMFS=MM	Baa1	3/27/2013	MDL
/RU25076RMFS=MM	WD	7/25/2006	FIS
/RU25076RMFS=MM	BBB	2/4/2009	FDL
/RU25077RMFS=MM	BBB	12/8/2008	SPI
/RU25077RMFS=MM	Baa1	3/27/2013	MIS
/RU25077RMFS=MM	Baa1	3/27/2013	MDL
/RU25077RMFS=MM	WD	7/25/2006	FIS
/RU25077RMFS=MM	BBB	2/4/2009	FDL
/RU25079RMFS=MM	BBB	12/8/2008	SPI
/RU25079RMFS=MM	Baa1	3/27/2013	MIS
/RU25079RMFS=MM	Baa1	3/27/2013	MDL
/RU25079RMFS=MM	WD	7/25/2006	FIS
/RU25079RMFS=MM	BBB	2/4/2009	FDL
/RU25080RMFS=MM	BBB	12/8/2008	SPI
/RU25080RMFS=MM	Baa1	3/27/2013	MIS
/RU25080RMFS=MM	Baa1	3/27/2013	MDL
/RU25080RMFS=MM	WD	7/25/2006	FIS
/RU25080RMFS=MM	BBB	2/4/2009	FDL
/RU25081RMFS=MM	BBB	12/8/2008	SPI
/RU25081RMFS=MM	Baa1	3/27/2013	MIS
/RU25081RMFS=MM	Baa1	3/27/2013	MDL
/RU25081RMFS=MM	WD	7/25/2006	FIS
/RU25081RMFS=MM	BBB	2/4/2009	FDL
/RU25082RMFS=MM	BBB	12/8/2008	SPI
/RU25082RMFS=MM	Baa1	3/27/2013	MIS
/RU25082RMFS=MM	Baa1	3/27/2013	MDL
/RU25082RMFS=MM	WD	7/25/2006	FIS
/RU25082RMFS=MM	BBB	2/4/2009	FDL
/RU26202RMFS=MM	BBB	12/8/2008	SPI
/RU26202RMFS=MM	Baa1	3/27/2013	MIS
/RU26202RMFS=MM	Baa1	3/27/2013	MDL
/RU26202RMFS=MM	WD	7/25/2006	FIS
/RU26202RMFS=MM	BBB	2/4/2009	FDL
/RU26203RMFS=MM	BBB	12/8/2008	SPI
/RU26203RMFS=MM	Baa1	3/27/2013	MIS
/RU26203RMFS=MM	Baa1	3/27/2013	MDL
/RU26203RMFS=MM	WD	7/25/2006	FIS
/RU26203RMFS=MM	BBB	2/4/2009	FDL
/RU26204RMFS=MM	BBB	12/8/2008	SPI
/RU26204RMFS=MM	Baa1	3/27/2013	MIS
/RU26204RMFS=MM	Baa1	3/27/2013	MDL
/RU26204RMFS=MM	WD	7/25/2006	FIS
/RU26204RMFS=MM	BBB	2/4/2009	FDL
/RU26205RMFS=MM	BBB	12/8/2008	SPI
/RU26205RMFS=MM	Baa1	3/27/2013	MIS
/RU26205RMFS=MM	Baa1	3/27/2013	MDL
/RU26205RMFS=MM	WD	7/25/2006	FIS
/RU26205RMFS=MM	BBB	2/4/2009	FDL
/RU26206RMFS=MM	BBB	12/8/2008	SPI
/RU26206RMFS=MM	Baa1	3/27/2013	MIS
/RU26206RMFS=MM	Baa1	3/27/2013	MDL
/RU26206RMFS=MM	WD	7/25/2006	FIS
/RU26206RMFS=MM	BBB	2/4/2009	FDL
/RU26207RMFS=MM	BBB	12/8/2008	SPI
/RU26207RMFS=MM	Baa1	3/27/2013	MIS
/RU26207RMFS=MM	Baa1	3/27/2013	MDL
/RU26207RMFS=MM	WD	7/25/2006	FIS
/RU26207RMFS=MM	BBB	2/4/2009	FDL
/RU26208RMFS=MM	BBB	12/8/2008	SPI
/RU26208RMFS=MM	Baa1	3/27/2013	MIS
/RU26208RMFS=MM	Baa1	3/27/2013	MDL
/RU26208RMFS=MM	WD	7/25/2006	FIS
/RU26208RMFS=MM	BBB	2/4/2009	FDL
/RU26209RMFS=MM	BBB	12/8/2008	SPI
/RU26209RMFS=MM	Baa1	3/27/2013	MIS
/RU26209RMFS=MM	Baa1	3/27/2013	MDL
/RU26209RMFS=MM	WD	7/25/2006	FIS
/RU26209RMFS=MM	BBB	2/4/2009	FDL
/RU26210RMFS=MM	BBB	12/8/2008	SPI
/RU26210RMFS=MM	Baa1	3/27/2013	MIS
/RU26210RMFS=MM	Baa1	3/27/2013	MDL
/RU26210RMFS=MM	WD	7/25/2006	FIS
/RU26210RMFS=MM	BBB	2/4/2009	FDL
/RU26211RMFS=MM	BBB	12/8/2008	SPI
/RU26211RMFS=MM	Baa1	3/27/2013	MIS
/RU26211RMFS=MM	Baa1	3/27/2013	MDL
/RU26211RMFS=MM	WD	7/25/2006	FIS
/RU26211RMFS=MM	BBB	2/4/2009	FDL
/RU26212RMFS=MM	BBB	12/8/2008	SPI
/RU26212RMFS=MM	Baa1	3/27/2013	MIS
/RU26212RMFS=MM	Baa1	3/27/2013	MDL
/RU26212RMFS=MM	WD	7/25/2006	FIS
/RU26212RMFS=MM	BBB	2/4/2009	FDL
/RU26214RMFS=MM	BBB	12/8/2008	SPI
/RU26214RMFS=MM	Baa1	3/27/2013	MIS
/RU26214RMFS=MM	Baa1	3/27/2013	MDL
/RU26214RMFS=MM	WD	7/25/2006	FIS
/RU26214RMFS=MM	BBB	2/4/2009	FDL
/RU26215RMFS=MM	BBB	12/8/2008	SPI
/RU26215RMFS=MM	Baa1	3/27/2013	MIS
/RU26215RMFS=MM	Baa1	3/27/2013	MDL
/RU26215RMFS=MM	WD	7/25/2006	FIS
/RU26215RMFS=MM	BBB	2/4/2009	FDL
/RU26216RMFS=MM	BBB	12/8/2008	SPI
/RU26216RMFS=MM	Baa1	3/27/2013	MIS
