RU062069520=	BOA MERRILL LYNCH ETRADING	XS0620695204=BOAM
RU062069520=	COMMERZBANK ETRADING	XS0620695204=CBKG
RU062069520=	COMMERZBANK TRADEWEB PRICE	XS0620695204=CBTW
RU062069520=	CREDIT SUISSE ETRADING	XS0620695204=CSEM
RU062069520=	DEUTSCHE BANK AUTOBAHN	XS0620695204=DBAB
RU062069520=	GOLDMAN SACHS ETRADING	XS0620695204=GSCR
RU062069520=	GOLDMAN SACHS TRADEWEB PRICE	XS0620695204=GSTW
RU062069520=	JEFFERIES INTL ETRADING	XS0620695204=JEFX
RU062069520=	JEFFERIES INTL TRADEWEB PRICE	XS0620695204=JFTW
RU062069520=	JP MORGAN TRADEWEB PRICE	XS0620695204=JPTW
RU062069520=	MORGAN STANLEY ETRADING	XS0620695204=MSFI
RU062069520=	MORGAN STANLEY TRADEWEB PRICE	XS0620695204=MSTW
RU062069520=	MIZUHO TRADEWEB PRICES	XS0620695204=MZTW
RU062069520=	TRFIT COMPOSITE	XS0620695204=R
RU062069520=	TRADEWEB	XS062069520=TE
RU062069520=	UBS ETRADING	XS0620695204=UBS
RU062069520=	UNICREDIT TRADEWEB PRICE	XS0620695204=UCTW
RU062069520=	UBS AG ETRADING	XS0620695204=UPIN
RU062069520=	UBS TRADEWEB PRICE	XS0620695204=USTW
RU062069520=	BROKERCREDITSERVICE	XS0620695204=BCSB
RU062069520=	PREMEX	XS0620695204=PRMX
RU062069520=	THOMSON REUTERS COMPOSITE EMEA	RU062069520=
RU062069520=	CCM	XS0620695204=CCAP
RU062069520=	CONTINENTAL CAPITAL MARKETS	XS0620695204=CCMG
RU062069520=	TRUST AND INVESTMENT BANK	RU062069520=DIBM
RU062069520=	RAIFFEISEN ZENTRALBANK	XS0620695204=RZBV
RU062069520=	SBERBANK CIB	XS0620695204=SBER
RU062069520=	MARKETAXESS L2	XS062069520=2M
RU062069520=	BERLIN STOCK EXCHANGE	DEA1GQKW=BE
RU062069520=	FRANKFURT STOCK EXCHANGE	DEA1GQKW=F
RU062069520=	LONDON STOCK EXCHANGE	GBB426RV3=L
RU062069520=	TESTING	XS0620695204=CBKT
RU062069520=	TESTING	XS0620695204=CSEQ
RU062069520=	TESTING	XS0620695204=MSCT
RU062069520=	FINRA	G0226QAB9=FINR
RU062069520=	THOMSON REUTERS EVALUATED	RU062069520=RRPS
RU049357923=	MARKETAXESS	XS049357923=1M
RU049357923=	BOAML TRADEWEB PRICE	XS0493579238=BATW
RU049357923=	BOA MERRILL LYNCH ETRADING	XS0493579238=BOAM
RU049357923=	CREDIT SUISSE ETRADING	XS0493579238=CSEM
RU049357923=	DEUTSCHE BANK AUTOBAHN	XS0493579238=DBAB
RU049357923=	GOLDMAN SACHS ETRADING	XS0493579238=GSCR
RU049357923=	GOLDMAN SACHS TRADEWEB PRICE	XS0493579238=GSTW
RU049357923=	JEFFERIES INTL ETRADING	XS0493579238=JEFX
RU049357923=	JEFFERIES INTL TRADEWEB PRICE	XS0493579238=JFTW
RU049357923=	JP MORGAN TRADEWEB PRICE	XS0493579238=JPTW
RU049357923=	MORGAN STANLEY ETRADING	XS0493579238=MSFI
RU049357923=	MORGAN STANLEY TRADEWEB PRICE	XS0493579238=MSTW
RU049357923=	MIZUHO TRADEWEB PRICES	XS0493579238=MZTW
RU049357923=	TRFIT COMPOSITE	XS0493579238=R
RU049357923=	TRADEWEB	XS049357923=TE
RU049357923=	UBS ETRADING	XS0493579238=UBS
RU049357923=	UBS AG ETRADING	XS0493579238=UPIN
RU049357923=	UBS TRADEWEB PRICE	XS0493579238=USTW
RU049357923=	BGC PARTNERS	XS0493579238=CNTR
RU049357923=	ICAP	XS0493579238=ICPR
RU049357923=	PREMEX	XS0493579238=PRMX
RU049357923=	TRADITION	XS0493579238=TRDL
RU049357923=	THOMSON REUTERS COMPOSITE EMEA	RU049357923=
RU049357923=	BNP PARIBAS	XS0493579238=BPGL
RU049357923=	CCM	XS0493579238=CCAP
RU049357923=	CONTINENTAL CAPITAL MARKETS	XS0493579238=CCMG
RU049357923=	TRUST AND INVESTMENT BANK	RU049357923=DIBM
RU049357923=	NORDEA BANK	XS0493579238=NDEA
RU049357923=	SBERBANK CIB	XS0493579238=SBER
RU049357923=	MARKETAXESS L2	XS049357923=2M
RU049357923=	BERLIN STOCK EXCHANGE	DEA1AUL9=BE
RU049357923=	FRANKFURT STOCK EXCHANGE	DEA1AUL9=F
RU049357923=	LONDON STOCK EXCHANGE	GBB3PW1Q4=L
RU049357923=	STUTTGART STOCK EXCHANGE	DEA1AUL9=SG
RU049357923=	TESTING	XS0493579238=CBKT
RU049357923=	TESTING	XS0493579238=CSEQ
RU049357923=	TESTING	XS0493579238=MSCT
RU049357923=	FINRA	G0252SAB2=FINR
RU049357923=	THOMSON REUTERS EVALUATED	RU049357923=RRPS
RU092504310=	MARKETAXESS	XS092504310=1M
RU092504310=	BOA MERRILL LYNCH ETRADING	XS0925043100=BOAM
RU092504310=	CREDIT SUISSE ETRADING	XS0925043100=CSEM
RU092504310=	DEUTSCHE BANK AUTOBAHN	XS0925043100=DBAB
RU092504310=	GOLDMAN SACHS ETRADING	XS0925043100=GSCR
RU092504310=	GOLDMAN SACHS TRADEWEB PRICE	XS0925043100=GSTW
RU092504310=	JEFFERIES INTL ETRADING	XS0925043100=JEFX
RU092504310=	JEFFERIES INTL TRADEWEB PRICE	XS0925043100=JFTW
RU092504310=	JP MORGAN TRADEWEB PRICE	XS0925043100=JPTW
RU092504310=	MORGAN STANLEY ETRADING	XS0925043100=MSFI
RU092504310=	MORGAN STANLEY TRADEWEB PRICE	XS0925043100=MSTW
RU092504310=	MITSUBISHI UFJ TRADEWEB PRICE	XS0925043100=MUTW
RU092504310=	MIZUHO TRADEWEB PRICES	XS0925043100=MZTW
RU092504310=	TRFIT COMPOSITE	XS0925043100=R
RU092504310=	TRADEWEB	XS092504310=TE
RU092504310=	UBS ETRADING	XS0925043100=UBS
RU092504310=	UBS AG ETRADING	XS0925043100=UPIN
RU092504310=	PREMEX	XS0925043100=PRMX
RU092504310=	THOMSON REUTERS COMPOSITE EMEA	RU092504310=
RU092504310=	CCM	XS0925043100=CCAP
RU092504310=	CONTINENTAL CAPITAL MARKETS	XS0925043100=CCMG
RU092504310=	NORDEA BANK	XS0925043100=NDEA
RU092504310=	SBERBANK CIB	XS0925043100=SBER
RU092504310=	MARKETAXESS L2	XS092504310=2M
RU092504310=	IRISH STOCK EXCHANGE	IEB9070X6=I
RU092504310=	TESTING	XS0925043100=CSEQ
RU092504310=	TESTING	XS0925043100=MSCT
RU092504310=	FINRA	G0175XAA7=FINR
RU092504310=	THOMSON REUTERS EVALUATED	RU092504310=RRPS
RU020582847=	MARKETAXESS	XS020582847=1M
RU020582847=	BNP PARIBAS TRADEWEB PRICE	XS0205828477=BNTW
RU020582847=	BOA MERRILL LYNCH ETRADING	XS0205828477=BOAM
RU020582847=	COMMERZBANK ETRADING	XS0205828477=CBKG
RU020582847=	COMMERZBANK TRADEWEB PRICE	XS0205828477=CBTW
RU020582847=	CREDIT SUISSE ETRADING	XS0205828477=CSEM
RU020582847=	DEUTSCHE BANK AUTOBAHN	XS0205828477=DBAB
RU020582847=	GOLDMAN SACHS ETRADING	XS0205828477=GSCR
RU020582847=	GOLDMAN SACHS TRADEWEB PRICE	XS0205828477=GSTW
RU020582847=	JEFFERIES INTL ETRADING	XS0205828477=JEFX
RU020582847=	JEFFERIES INTL TRADEWEB PRICE	XS0205828477=JFTW
RU020582847=	JP MORGAN TRADEWEB PRICE	XS0205828477=JPTW
RU020582847=	MITSUBISHI UFJ TRADEWEB PRICE	XS0205828477=MUTW
RU020582847=	MIZUHO TRADEWEB PRICES	XS0205828477=MZTW
RU020582847=	TRFIT COMPOSITE	XS0205828477=R
RU020582847=	RBS TRADEWEB PRICE	XS0205828477=RSTW
RU020582847=	TRADEWEB	XS020582847=TE
RU020582847=	UBS ETRADING	XS0205828477=UBS
RU020582847=	UBS AG ETRADING	XS0205828477=UPIN
RU020582847=	UBS TRADEWEB PRICE	XS0205828477=USTW
RU020582847=	BGC PARTNERS	XS0205828477=CNTR
RU020582847=	ICAP	XS0205828477=ICPR
RU020582847=	PREMEX	XS0205828477=PRMX
RU020582847=	TRADITION	XS0205828477=TRDL
RU020582847=	THOMSON REUTERS COMPOSITE EMEA	RU020582847=
RU020582847=	BNP PARIBAS	XS0205828477=BPGL
RU020582847=	CCM	XS0205828477=CCAP
RU020582847=	CONTINENTAL CAPITAL MARKETS	XS0205828477=CCMG
RU020582847=	TRUST AND INVESTMENT BANK	RU020582847=DIBM
RU020582847=	SBERBANK CIB	XS0205828477=SBER
RU020582847=	VOZROZHDENIE BANK	RU020582847=VOZM
RU020582847=	MARKETAXESS L2	XS020582847=2M
RU020582847=	BERLIN STOCK EXCHANGE	DEA0DFW0=BE
RU020582847=	FRANKFURT STOCK EXCHANGE	DEA0DFW0=F
RU020582847=	LUXEMBOURG STOCK EXCHANGE	LU020582847=LU
RU020582847=	STUTTGART STOCK EXCHANGE	DEA0DFW0=SG
RU020582847=	TESTING	XS0205828477=CBKT
RU020582847=	TESTING	XS0205828477=CSEQ
RU020582847=	TESTING	XS0205828477=MSCT
RU020582847=	FINRA	L0172MAB6=FINR
RU020582847=	THOMSON REUTERS EVALUATED	RU020582847=RRPS
RU020582847=	UBS-INTERDEALER (TEST)	XS0205828477=UPTX
RU055549320=	MARKETAXESS	XS055549320=1M
RU055549320=	BNP PARIBAS TRADEWEB PRICE	XS0555493203=BNTW
RU055549320=	BOA MERRILL LYNCH ETRADING	XS0555493203=BOAM
RU055549320=	CREDIT AGRICOLE TRADEWEB PRICE	XS0555493203=CATW
RU055549320=	COMMERZBANK ETRADING	XS0555493203=CBKG
RU055549320=	COMMERZBANK TRADEWEB PRICE	XS0555493203=CBTW
RU055549320=	CREDIT SUISSE ETRADING	XS0555493203=CSEM
RU055549320=	DEUTSCHE BANK AUTOBAHN	XS0555493203=DBAB
RU055549320=	GOLDMAN SACHS ETRADING	XS0555493203=GSCR
RU055549320=	GOLDMAN SACHS TRADEWEB PRICE	XS0555493203=GSTW
RU055549320=	JEFFERIES INTL ETRADING	XS0555493203=JEFX
RU055549320=	JEFFERIES INTL TRADEWEB PRICE	XS0555493203=JFTW
RU055549320=	JP MORGAN TRADEWEB PRICE	XS0555493203=JPTW
RU055549320=	MORGAN STANLEY ETRADING	XS0555493203=MSFI
RU055549320=	MORGAN STANLEY TRADEWEB PRICE	XS0555493203=MSTW
RU055549320=	MITSUBISHI UFJ TRADEWEB PRICE	XS0555493203=MUTW
RU055549320=	MIZUHO TRADEWEB PRICES	XS0555493203=MZTW
RU055549320=	NATIXIS TRADEWEB PRICE	XS0555493203=NXTW
RU055549320=	TRFIT COMPOSITE	XS0555493203=R
RU055549320=	RBS TRADEWEB PRICE	XS0555493203=RSTW
RU055549320=	TRADEWEB	XS055549320=TE
RU055549320=	UBS ETRADING	XS0555493203=UBS
RU055549320=	UNICREDIT TRADEWEB PRICE	XS0555493203=UCTW
RU055549320=	UBS AG ETRADING	XS0555493203=UPIN
RU055549320=	UBS TRADEWEB PRICE	XS0555493203=USTW
RU055549320=	BGC PARTNERS	XS0555493203=CNTR
RU055549320=	ICAP	XS0555493203=ICPR
RU055549320=	PREMEX	XS0555493203=PRMX
RU055549320=	TRADITION	XS0555493203=TRDL
RU055549320=	THOMSON REUTERS COMPOSITE EMEA	RU055549320=
RU055549320=	BNP PARIBAS	XS0555493203=BPGL
RU055549320=	CCM	XS0555493203=CCAP
RU055549320=	CONTINENTAL CAPITAL MARKETS	XS0555493203=CCMG
RU055549320=	TRUST AND INVESTMENT BANK	RU055549320=DIBM
RU055549320=	SBERBANK CIB	XS0555493203=SBER
RU055549320=	MARKETAXESS L2	XS055549320=2M
RU055549320=	BERLIN STOCK EXCHANGE	DEA1A289=BE
RU055549320=	FRANKFURT STOCK EXCHANGE	DEA1A289=F
RU055549320=	IRISH STOCK EXCHANGE	IEB563HT5=I
RU055549320=	TESTING	XS0555493203=CBKT
RU055549320=	TESTING	XS0555493203=CSEQ
RU055549320=	TESTING	XS0555493203=MLRT
RU055549320=	TESTING	XS0555493203=MSCT
RU055549320=	FINRA	L0172MBC3=FINR
RU055549320=	THOMSON REUTERS EVALUATED	RU055549320=RRPS
RU055549320=	SOCIETE GENERALE	XS0555493203=SGUT
RU104254438=	THOMSON REUTERS COMPOSITE EMEA	RU104254438=
RU104254438=	THOMSON REUTERS EVALUATED	RU104254438=RRPS
RU031257298=	MARKETAXESS	XS031257298=1M
RU031257298=	BOA MERRILL LYNCH ETRADING	XS0312572984=BOAM
RU031257298=	CREDIT SUISSE ETRADING	XS0312572984=CSEM
RU031257298=	GOLDMAN SACHS ETRADING	XS0312572984=GSCR
RU031257298=	GOLDMAN SACHS TRADEWEB PRICE	XS0312572984=GSTW
RU031257298=	JP MORGAN TRADEWEB PRICE	XS0312572984=JPTW
RU031257298=	TRFIT COMPOSITE	XS0312572984=R
RU031257298=	TRADEWEB	XS031257298=TE
RU031257298=	UBS ETRADING	XS0312572984=UBS
RU031257298=	UBS AG ETRADING	XS0312572984=UPIN
RU031257298=	UBS TRADEWEB PRICE	XS0312572984=USTW
RU031257298=	PREMEX	XS0312572984=PRMX
RU031257298=	THOMSON REUTERS COMPOSITE EMEA	RU031257298=
RU031257298=	CCM	XS0312572984=CCAP
RU031257298=	CONTINENTAL CAPITAL MARKETS	XS0312572984=CCMG
RU031257298=	TRUST AND INVESTMENT BANK	RU031257298=DIBM
RU031257298=	MARKETAXESS L2	XS031257298=2M
