RU088663268=		
/RU46012RMFS=MM	9/26/2012	1.359
/RU46012RMFS=MM	9/25/2013	1.697
/RU46012RMFS=MM	9/24/2014	4.673
/RU46012RMFS=MM	9/23/2015	3.351
/RU46012RMFS=MM	9/21/2016	3.281
/RU46012RMFS=MM	9/20/2017	8.386
/RU46012RMFS=MM	9/19/2018	8.656
/RU46012RMFS=MM	9/18/2019	6.269
/RU46012RMFS=MM	9/16/2020	9.718
/RU46014RMFS=MM		
/RU46014RMFS=MM	3/5/2003	10.5
/RU46014RMFS=MM	9/15/2004	10
/RU46014RMFS=MM	9/13/2006	9
/RU46014RMFS=MM	9/9/2009	8
/RU46014RMFS=MM	9/8/2010	7
/RU46017RMFS=MM		
/RU46017RMFS=MM	2/16/2005	9.5
/RU46017RMFS=MM	11/16/2005	9
/RU46017RMFS=MM	11/15/2006	8.5
/RU46017RMFS=MM	11/14/2007	8
/RU46017RMFS=MM	11/11/2009	7.5
/RU46017RMFS=MM	11/10/2010	7
/RU46017RMFS=MM	8/8/2012	6.5
/RU46017RMFS=MM	11/5/2014	6
/RU46018RMFS=MM		
/RU46018RMFS=MM	3/16/2005	9.5
/RU46018RMFS=MM	12/13/2006	9
/RU46018RMFS=MM	12/10/2008	8.5
/RU46018RMFS=MM	12/8/2010	8
/RU46018RMFS=MM	12/5/2012	7
/RU46018RMFS=MM	12/3/2014	6.5
/RU46019RMFS=MM		
/RU46019RMFS=MM	12/28/2005	0
/RU46019RMFS=MM	3/28/2012	3.008
/RU46019RMFS=MM	3/27/2013	2.005
/RU46020RMFS=MM		
/RU46020RMFS=MM	2/15/2006	6.95
/RU46020RMFS=MM	8/16/2006	6.9
/RU46021RMFS=MM		
/RU46021RMFS=MM	2/21/2007	8
/RU46021RMFS=MM	8/22/2007	7.5
/RU46021RMFS=MM	8/19/2009	7
/RU46021RMFS=MM	8/17/2011	6
/RU46021RMFS=MM	8/14/2013	5.5
/RU46021RMFS=MM	8/12/2015	5
/RU46022RMFS=MM		
/RU46022RMFS=MM	1/23/2008	8
/RU46022RMFS=MM	7/23/2008	7.5
/RU46022RMFS=MM	7/21/2010	7
